Var X sample ID,Var Y sample ID,Pearson's correlation
GTEX-P4PP-2026-SM-3P61N,GTEX-13W3W-1426-SM-5LU56,0.8007
GTEX-P4PP-2026-SM-3P61N,GTEX-PWOO-1526-SM-48TCK,0.8036
GTEX-132AR-1526-SM-5KM1L,GTEX-13W3W-1426-SM-5LU56,0.8136
GTEX-P4PP-2026-SM-3P61N,GTEX-WI4N-2426-SM-4OOSC,0.8141
GTEX-13W3W-1426-SM-5LU56,GTEX-QCQG-1326-SM-48U24,0.8145
GTEX-RWS6-1326-SM-47JXB,GTEX-13W3W-1426-SM-5LU56,0.815
GTEX-RWS6-1326-SM-47JXB,GTEX-WI4N-2426-SM-4OOSC,0.8159
GTEX-P4PP-2026-SM-3P61N,GTEX-S341-1026-SM-4AD71,0.8205
GTEX-RU72-2626-SM-4TT75,GTEX-13W3W-1426-SM-5LU56,0.8252
GTEX-P4PP-2026-SM-3P61N,GTEX-ZV6S-1526-SM-5NQ7O,0.8296
GTEX-RWS6-1326-SM-47JXB,GTEX-PWOO-1526-SM-48TCK,0.8298
GTEX-132AR-1526-SM-5KM1L,GTEX-S341-1026-SM-4AD71,0.8302
GTEX-ZAK1-2526-SM-5S2N7,GTEX-13W3W-1426-SM-5LU56,0.8308
GTEX-TSE9-2626-SM-4DXV2,GTEX-13W3W-1426-SM-5LU56,0.8319
GTEX-P4PP-2026-SM-3P61N,GTEX-POMQ-1226-SM-3P61F,0.8331
GTEX-QCQG-1326-SM-48U24,GTEX-WI4N-2426-SM-4OOSC,0.8336
GTEX-P4PP-2026-SM-3P61N,GTEX-ZTPG-2026-SM-5O999,0.8338
GTEX-PWN1-2026-SM-48TD9,GTEX-132AR-1526-SM-5KM1L,0.8357
GTEX-ZAK1-2526-SM-5S2N7,GTEX-PWOO-1526-SM-48TCK,0.8359
GTEX-QCQG-1326-SM-48U24,GTEX-PWOO-1526-SM-48TCK,0.8361
GTEX-PWN1-2026-SM-48TD9,GTEX-N7MT-0726-SM-3TW8S,0.8362
GTEX-PWN1-2026-SM-48TD9,GTEX-P4PP-2026-SM-3P61N,0.8369
