244901_at ATMG00640
244902_at ATMG00650
244903_at ATMG00660
244904_at ATMG00670
244905_at ATMG00680
244906_at ATMG00690
244907_at ATMG00710
244908_at ATMG00720
244909_at ATMG00740
244910_s_at ATMG00750;AT2G07686
244911_at ATMG00820
244912_at AT2G07783;ATMG00830
244913_at ATMG00840
244914_at ATMG00850;AT2G07682
244915_s_at ATMG00860;AT2G07682
244916_at ATMG00880;AT2G07682
244917_at ATMG00870
244918_at ATMG00890
244919_at AT2G07768;ATMG00960
244920_s_at AT2G07751;ATMG00990
244921_s_at ATMG01000
244922_s_at AT2G07674;ATMG01010
244923_s_at ATMG01020
244924_at ATMG01040;AT2G07664
244925_at ATMG00510
244926_s_at AT2G07712;ATMG00520
244927_at AT2G07663;ATMG00530;AT2G07776
244928_s_at ATMG00570;AT2G07716
244929_at ATMG00580
244930_at ATMG00600;AT2G07809
244931_at ATMG00630
244932_at ATCG01060
244933_at ATCG01070
244934_at ATCG01080
244935_at ATCG01090
244936_at ATCG01100
244937_at ATCG01110
244938_at ATCG01120
244939_at ATCG00065
244940_at ATCG01230;ATCG00905
244941_at ATMG00010
244942_at ATMG00050
244943_at ATMG00070
244944_s_at ATMG00080;ATMG00090
244945_at ATMG00110
244947_at ATMG00130
244948_at ATMG00140
244949_at ATMG00150
244950_at ATMG00160
244951_s_at AT2G07723;ATMG00180
244952_at ATMG00260;AT2G07799
244953_s_at ATMG00270;AT2G07731
244954_s_at ATMG00280;AT2G07732
244955_at ATMG00320
244956_s_at ATMG00310;AT2G07737
244957_at ATMG00400
244958_at ATMG00450
244959_s_at AT2G07708;ATMG00500;ATMG00490
244960_at ATCG01020
244961_at ATCG01040
244962_at ATCG01050
244963_at ATCG00570
244964_at ATCG00580
244965_at ATCG00590
244966_at ATCG00600
244967_at ATCG00630
244968_at ATCG00640
244969_at ATCG00650
244970_at ATCG00660
244971_at ATCG00670
244972_at ATCG00680
244973_at ATCG00690
244974_at ATCG00700
244975_at ATCG00710
244976_at ATCG00720
244977_at ATCG00730
244978_at ATCG00740
244979_at ATCG00750
244980_at ATCG00760
244981_at ATCG00770
244982_at ATCG00780
244983_at ATCG00790
244984_at ATCG00800
244985_at ATCG00810
244986_at ATCG00820
244987_s_at ATCG01310;ATCG00830
244988_s_at ATCG00840;ATCG01300
244989_s_at ATCG00860;ATCG01280
244990_s_at ATCG00870;ATCG01270
244991_s_at ATCG01250;ATCG00890
244992_s_at ATCG00900;ATCG01240
244993_s_at ATCG01000;ATCG01130
244994_at ATCG01010
244995_at ATCG00150
244996_at ATCG00160
244997_at ATCG00170
244998_at ATCG00180
244999_at ATCG00190
245000_at ATCG00210
245001_at ATCG00220
245002_at ATCG00270
245003_at ATCG00280
245004_at ATCG00300
245005_at ATCG00330
245006_at ATCG00340
245007_at ATCG00350
245008_at ATCG00360
245009_at ATCG00380
245010_at ATCG00420
245011_at ATCG00430
245012_at ATCG00440
245013_at ATCG00470
245014_at ATCG00480
245015_at ATCG00490
245016_at ATCG00500
245017_at ATCG00510
245018_at ATCG00520
245019_at ATCG00530
245020_at ATCG00540
245021_at ATCG00550
245022_at ATCG00560
245023_at ATCG00080
245024_at ATCG00120
245025_at ATCG00130
245026_at ATCG00140
245027_at AT2G26550
245028_at AT2G26570
245029_at AT2G26580
245030_at AT2G26620
245031_at AT2G26360
245032_at AT2G26630
245033_at AT2G26380
245034_at AT2G26390
245035_at AT2G26400
245036_at AT2G26410
245037_at AT2G26420
245038_at AT2G26560
245039_at AT2G26600
245040_at AT2G26520
245041_at AT2G26530
245042_at AT2G26540
245043_at AT2G26430
245044_at AT2G26500
245045_at AT2G26590
245046_at AT2G26510
245047_at ATCG00020
245048_at ATCG00040
245049_at ATCG00050
245050_at ATCG00070
245051_at AT2G23320
245052_at AT2G26440
245053_at AT2G26450
245054_at AT2G26460
245055_at AT2G26470
245056_at AT2G26480
245057_at AT2G26490
245058_at AT2G39790
245059_at AT2G39720
245060_at AT2G39770
245061_at AT2G39730
245062_at AT2G39760
245063_at AT2G39795
245064_at AT2G39725
245065_at AT2G39750
245066_at AT2G39840
245067_at AT2G39780
245068_at AT2G23260
245069_at AT2G23250
245070_at AT2G23240
245071_at AT2G23230
245072_s_at AT2G23220;AT2G23190
245073_at AT2G23210
245074_at AT2G23200
245075_at AT2G23180
245076_at AT2G23170
245077_at AT2G23160
245078_at AT2G23340
245079_at AT2G23330
245080_at AT2G23300
245082_at AT2G23270
245083_at AT2G23310
245084_at AT2G23290
245085_at AT2G23350
245086_at AT2G39820
245087_at AT2G39830
245088_at AT2G39850
245089_at AT2G45290
245090_at AT2G40900
245091_at AT2G40910
245092_at AT2G40950
245093_at AT2G40815
245094_at AT2G40840
245095_at AT2G40860
245096_at AT2G40880
245097_at AT2G40935
245098_at AT2G40940
245099_at AT2G40830
245100_at AT2G40930
245101_at AT2G40890
245102_at AT2G41580
245103_at AT2G41590
245104_at AT2G41600
245105_at AT2G41610
245106_at AT2G41650
245107_at AT2G41690
245108_at AT2G41510
245109_at AT2G41520
245110_at AT2G41550
245111_at AT2G41570
245112_at AT2G41540
245113_at AT2G41660
245114_at AT2G41630
245115_at AT2G41530
245116_at AT2G41620
245117_at AT2G41560
245118_at AT2G41680
245119_at AT2G41640
245120_at AT2G39810
245121_at AT2G47610
245122_at AT2G47420
245123_at AT2G47450
245124_at AT2G47580
245125_at AT2G47430
245126_at AT2G47460
245127_at AT2G47600
245128_at AT2G45380
245129_at AT2G45350
245130_at AT2G45340
245131_s_at AT2G45330;AT5G23600
245132_at AT2G45320
245133_at AT2G45310
245134_s_at AT4G38280;AT2G45250
245135_at AT2G45230
245136_at AT2G45210
245137_at AT2G45460
245138_at AT2G45190
245139_at AT2G45430
245140_at AT2G45420
245141_at AT2G45400
245142_at AT2G45270
245143_at AT2G45450
245144_at AT2G45240
245145_at AT2G45440
245146_at AT2G45200
245147_at AT2G45280
245148_at AT2G45220
245149_at AT2G47620
245150_at AT2G47590
245151_at AT2G47550
245152_at AT2G47490
245153_at AT5G12450
245154_at AT5G12460
245155_at AT5G12470
245156_at AT5G12480
245157_at AT2G33160
245158_at AT2G33130
245159_at AT2G33100
245160_at AT2G33080
