245476_at AT4G16090
266110_at AT2G02080
254265_s_at AT4G23140;AT4G23160
259273_s_at AT3G01300;AT5G15080
248847_at AT5G46510
254832_at AT4G12490
267392_at AT2G44490
266772_s_at AT4G16540;AT2G03020
257019_at AT3G19640
263004_at AT1G54510
259211_at AT3G09020
247788_at AT5G58730
252069_s_at AT3G51640;AT3G51650
249980_at AT5G18870
261433_s_at AT1G07670;AT1G07810
260937_at AT1G45160
258152_at AT3G18190
265316_at AT2G20400
250667_at AT5G07090
246874_at AT5G26120
255046_at AT4G09650
261031_at AT1G17360
264257_at AT1G09230
247904_at AT5G57390
267628_at AT2G42280
252979_at AT4G38225
254132_at AT4G24660
257358_at AT2G40990
263343_at AT2G05090
266569_at AT2G24080
259550_at AT1G35230
247088_at AT5G66340
253073_at AT4G37410
256299_at AT1G69530
245931_at AT5G09280
258491_at AT3G02700
260237_at AT1G74430
248118_at AT5G55050
265655_at AT2G13920
255385_at AT4G03610
261370_at AT1G53050
264596_at AT1G04625
262549_at AT1G31290
247204_at AT5G64990
256415_at AT3G11210
252279_at AT3G49700
257697_at AT3G12700
263682_at AT1G26860
253309_at AT4G33790
255501_at AT4G02400
258727_at AT3G11930
264712_at AT1G09810
260576_at AT2G47310
248457_at AT5G51420
256783_at AT3G13670
265994_at AT2G24170
261606_at AT1G49570
257813_at AT3G25100
251336_at AT3G61190
262888_at AT1G14790
247543_at AT5G61600
254707_at AT4G18010
267267_at AT2G02580
263918_at AT2G36590
250422_at AT5G10840
253648_at AT4G29940
249855_at AT5G22970
255840_at AT2G33520
258027_at AT3G19515
264012_at AT2G21080
245570_at AT4G14670
246749_at AT5G27830
252734_at AT3G43160
265294_at AT2G14030
261945_at AT1G64530
257113_at AT3G20130
266324_at AT2G46710
251675_at AT3G57300
247882_at AT5G57785
260810_s_at AT1G43755;AT1G43745
262188_at AT1G77810
256054_at AT1G07120
263218_at AT1G30570
259425_at AT1G01460
265410_at AT2G16620
250761_at AT5G06050
253987_at AT4G26270
245806_at AT1G45474
249155_at AT5G43480
258366_at AT3G14230
264351_at AT1G03370
262304_at AT1G70890
260659_s_at AT1G19470;AT1G19460
248096_at AT5G55240
246049_at AT5G28890
252034_at AT3G52040
266434_s_at AT3G18340;AT2G07120
261245_at AT1G20130
257452_at AT1G05740
266663_at AT2G25790
247182_at AT5G65410
256393_at AT3G06280
254346_at AT4G21980
260331_at AT1G80270
248212_at AT5G54020
263557_at AT2G16400
259764_at AT1G64280
250061_at AT5G17710
253287_at AT4G34270
249494_at AT5G39050
264690_at AT1G70060
245106_at AT2G41650
262643_at AT1G62770
265869_at AT2G01760
246388_at AT1G77405
267022_at AT2G34230
252373_at AT3G48090
257063_s_at AT4G21460;AT3G18240
255599_at AT4G01010
261584_at AT1G01040
257791_at AT3G27110
247418_at AT5G63030
253403_at AT4G32830
256629_at AT3G19980
264955_at AT1G76920
249610_at AT5G37360
258821_at AT3G07230
254685_at AT4G13790
260670_at AT1G19520
263896_at AT2G21930
248551_at AT5G50200
246504_at AT5G16160
259064_at AT3G07490
261700_at AT1G32690
256902_s_at AT3G23910;AT3G24255
245445_at AT4G16750
251430_at AT3G60110
256997_at AT3G14067
262982_at AT1G54390
252609_at AT3G45110
248816_at AT5G47010
254801_at AT4G13080
267361_at AT2G39920
253742_at AT4G28900
260906_at AT1G02540
250636_at AT5G07520
246843_at AT5G26740
263196_at AT1G36070
255015_at AT4G09980
261000_at AT1G26540
264226_at AT1G67510
245784_at AT1G32190
252948_at AT4G38600
262282_at AT1G68610
254101_at AT4G25000
257327_at ATMG01240
263312_at AT2G10460
266538_at AT2G35230
251889_at AT3G54080
247057_at AT5G66770
253042_at AT4G37550
256268_at AT3G12280
245900_at AT5G11040
258460_at AT3G17330
260206_at AT1G70740
259639_at AT1G52380
265624_at AT2G27250
250975_at AT5G03050
248190_at AT5G54120
246143_at AT5G19980
249369_at AT5G40680
255354_at AT4G03880
264565_at AT1G05280
262518_at AT1G17170
245084_at AT2G23290
252248_at AT3G49750
261459_at AT1G21100
254440_at AT4G21020
257666_at AT3G20270
263651_at AT1G04340
266877_at AT2G44570
251189_at AT3G62650
247396_at AT5G62930
253381_at AT4G33350
245200_at AT1G67850
260545_at AT2G43350
255970_s_at AT3G31540;AT3G43000
248426_at AT5G51740
259978_at AT1G76540
250275_at AT5G13030
246482_at AT5G15930
251305_at AT3G62030
262857_at AT1G14930
247512_at AT5G61720
267236_at AT2G44100
257684_s_at AT3G13300;AT3G13290
252587_at AT3G45620
248794_at AT5G47220
261798_at AT1G30460
263990_at AT2G42810
253617_at AT4G30410
266177_at AT2G02270
249824_at AT5G23380
