study_accession	study_title	study_type	design_description	library_selection	library_layout	library_construction_protocol	instrument_model	platform_parameters	sample	run	updated_date	class/strategy	Plant Age	Plant Material	Development stage of tissue(if given)	line/Cultivar	genetic information/line	Mutant/WT	Treatment	Experiment keywords	Otherinfo about sample	Abstract	Submission center	Lab/PI	Submission date
SRP001134	Zea mays Genome sequencing	Whole Genome Sequencing	LS454 sequencing of Maize Grant II Z_AR-090323_gDNA_B73_tube1 fragment RANDOM library	RT-PCR	PAIRED - NOMINAL_LENGTH: 101; NOMINAL_SDEV: 0.0E0; 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS1155452	SRR3039751	12/30/15	RNA-Seq	vegetative	leaf	V3	KR701	inbred	WT	control	freezing tolerance	NA	The research of maize freezing tolerance.	Northeast Agricultural University	crop stress physiology	NA
SRP001134	Zea mays Genome sequencing	Whole Genome Sequencing	LS454 sequencing of Maize Grant II Z_AR-090323_gDNA_B73_tube1 fragment RANDOM library	RT-PCR	PAIRED - NOMINAL_LENGTH: 101; NOMINAL_SDEV: 0.0E0; 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS1155452	SRR2919276	12/21/15	RNA-Seq	vegetative	leaf	V3	KR701	inbred	WT	control	freezing tolerance	NA	The research of maize freezing tolerance.	Northeast Agricultural University	crop stress physiology	NA
SRP001134	Zea mays Genome sequencing	Whole Genome Sequencing	LS454 sequencing of Maize Grant II Z_AR-090323_gDNA_B73_tube1 fragment RANDOM library	RT-PCR	PAIRED - NOMINAL_LENGTH: 101; NOMINAL_SDEV: 0.0E0; 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS1155452	SRR2911289	12/21/15	RNA-Seq	vegetative	leaf	V3	KR701	inbred	WT	control	freezing tolerance	NA	The research of maize freezing tolerance.	Northeast Agricultural University	crop stress physiology	NA
SRP001134	Zea mays Genome sequencing	Whole Genome Sequencing	LS454 sequencing of Maize Grant II Z_AR-090323_gDNA_B73_tube1 fragment RANDOM library	RT-PCR	PAIRED - NOMINAL_LENGTH: 101; NOMINAL_SDEV: 0.0E0; 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS1155452	SRR2911073	12/21/15	RNA-Seq	vegetative	leaf	V3	KR701	inbred	WT	control	freezing tolerance	NA	The research of maize freezing tolerance.	Northeast Agricultural University	crop stress physiology	NA
SRP001134	Zea mays Genome sequencing	Whole Genome Sequencing	LS454 sequencing of Maize Grant II Z_AR-090323_gDNA_B73_tube1 fragment RANDOM library	RT-PCR	PAIRED - NOMINAL_LENGTH: 101; NOMINAL_SDEV: 0.0E0; 	NA	IllumiNA HiSeq 2000	INSTRUMENT_MODEL: IllumiNA HiSeq 2000	SRS1155452	SRR3039752	12/23/15	RNA-Seq	vegetative	leaf	V3	KR701	inbred	WT	control	freezing tolerance	NA	The research of maize freezing tolerance.	Northeast Agricultural University	crop stress physiology	NA
SRP001134	Zea mays Genome sequencing	Whole Genome Sequencing	LS454 sequencing of Maize Grant II Z_AR-090323_gDNA_B73_tube1 fragment RANDOM library	PCR	PAIRED - NOMINAL_LENGTH: 300; NOMINAL_SDEV: 50; 	NA	IllumiNA HiSeq 2500	INSTRUMENT_MODEL: IllumiNA HiSeq 2500	SRS965758	SRR2070626	4/12/16	RNA-Seq	vegetative	leaf	V7	B73	inbred	WT	control N	nitrogen responsive lncRNA	NA	The goal of this project is to identify nitrogen-responsive intergenic and intronic lncRNAs in maize	Jiangsu Academy of Agricultural Sciences	NA	NA
SRP001134	Zea mays Genome sequencing	Whole Genome Sequencing	LS454 sequencing of Maize Grant II Z_AR-090323_gDNA_B73_tube1 fragment RANDOM library	size fractioNAtion	PAIRED - NOMINAL_LENGTH: 320; 	NA	IllumiNA Genome ANAlyzer IIx	INSTRUMENT_MODEL: IllumiNA Genome ANAlyzer IIx	SRS211658	SRR255405	7/15/14	RNA-Seq	reproductive	pollen	mature	B73	inbred	WT	NA	gene discovery	NA	"Both male and female gametophytes play central roles in sexual plant reproduction. Furthermore, a hallmark of the plant life cycle is that gene expression is required in the haploid gametophytes, as many mutant phenotypes are expressed in this phase, affecting transmission of the mutant allele to the next generation. However, the relative iNAccessibility of the female gametophyte has limited the availability of genome-scale data on this structure. We have taken advantage of the relatively large size of the maize female gametophyte to sequence triplicate replicated RNA-Seq libraries using the IllumiNA platform from dissected B73 embryo sacs, comparator ovules, mature pollen (the male gametophyte) and seedlings (as a baseline sporophytic comparison). ANAlysis of these data identi ed a set of several thousand empirically-predicted transcript-producing loci that show significant enrichment in gametophytic samples. There appears to be a high potential for gene discovery within these data sets."	University of Missouri	Informatics Research Core Facility	6/6/11
SRP001134	Zea mays Genome sequencing	Whole Genome Sequencing	LS454 sequencing of Maize Grant II Z_AR-090323_gDNA_B73_tube1 fragment RANDOM library	size fractioNAtion	PAIRED - NOMINAL_LENGTH: 320; 	NA	IllumiNA Genome ANAlyzer IIx	INSTRUMENT_MODEL: IllumiNA Genome ANAlyzer IIx	SRS211661	SRR254172	7/15/14	RNA-Seq	reproductive	ovule	NA	B73	inbred	WT	NA	gene discovery	NA	"Both male and female gametophytes play central roles in sexual plant reproduction. Furthermore, a hallmark of the plant life cycle is that gene expression is required in the haploid gametophytes, as many mutant phenotypes are expressed in this phase, affecting transmission of the mutant allele to the next generation. However, the relative iNAccessibility of the female gametophyte has limited the availability of genome-scale data on this structure. We have taken advantage of the relatively large size of the maize female gametophyte to sequence triplicate replicated RNA-Seq libraries using the IllumiNA platform from dissected B73 embryo sacs, comparator ovules, mature pollen (the male gametophyte) and seedlings (as a baseline sporophytic comparison). ANAlysis of these data identi ed a set of several thousand empirically-predicted transcript-producing loci that show significant enrichment in gametophytic samples. There appears to be a high potential for gene discovery within these data sets."	University of Missouri	Informatics Research Core Facility	6/6/11
SRP001134	Zea mays Genome sequencing	Whole Genome Sequencing	LS454 sequencing of Maize Grant II Z_AR-090323_gDNA_B73_tube1 fragment RANDOM library	size fractioNAtion	PAIRED - NOMINAL_LENGTH: 320; 	NA	IllumiNA Genome ANAlyzer IIx	INSTRUMENT_MODEL: IllumiNA Genome ANAlyzer IIx	SRS211663	SRR254169	7/15/14	RNA-Seq	reproductive	embryo sac	NA	B73	inbred	WT	NA	gene discovery	NA	"Both male and female gametophytes play central roles in sexual plant reproduction. Furthermore, a hallmark of the plant life cycle is that gene expression is required in the haploid gametophytes, as many mutant phenotypes are expressed in this phase, affecting transmission of the mutant allele to the next generation. However, the relative iNAccessibility of the female gametophyte has limited the availability of genome-scale data on this structure. We have taken advantage of the relatively large size of the maize female gametophyte to sequence triplicate replicated RNA-Seq libraries using the IllumiNA platform from dissected B73 embryo sacs, comparator ovules, mature pollen (the male gametophyte) and seedlings (as a baseline sporophytic comparison). ANAlysis of these data identi ed a set of several thousand empirically-predicted transcript-producing loci that show significant enrichment in gametophytic samples. There appears to be a high potential for gene discovery within these data sets."	University of Missouri	Informatics Research Core Facility	6/6/11
SRP001134	Zea mays Genome sequencing	Whole Genome Sequencing	LS454 sequencing of Maize Grant II Z_AR-090323_gDNA_B73_tube1 fragment RANDOM library	size fractioNAtion	PAIRED - NOMINAL_LENGTH: 320; 	NA	IllumiNA Genome ANAlyzer IIx	INSTRUMENT_MODEL: IllumiNA Genome ANAlyzer IIx	SRS211656	SRR250415	7/15/14	RNA-Seq	reproductive	seedling	NA	B73	inbred	WT	NA	gene discovery	NA	"Both male and female gametophytes play central roles in sexual plant reproduction. Furthermore, a hallmark of the plant life cycle is that gene expression is required in the haploid gametophytes, as many mutant phenotypes are expressed in this phase, affecting transmission of the mutant allele to the next generation. However, the relative iNAccessibility of the female gametophyte has limited the availability of genome-scale data on this structure. We have taken advantage of the relatively large size of the maize female gametophyte to sequence triplicate replicated RNA-Seq libraries using the IllumiNA platform from dissected B73 embryo sacs, comparator ovules, mature pollen (the male gametophyte) and seedlings (as a baseline sporophytic comparison). ANAlysis of these data identi ed a set of several thousand empirically-predicted transcript-producing loci that show significant enrichment in gametophytic samples. There appears to be a high potential for gene discovery within these data sets."	University of Missouri	Informatics Research Core Facility	6/6/11
