Probe Set ID	Gene Title	Gene Symbol
1007_s_at	discoidin domain receptor tyrosine kinase 1	DDR1
1053_at	"replication factor C (activator 1) 2, 40kDa"	RFC2
117_at	heat shock 70kDa protein 6 (HSP70B')	HSPA6
121_at	paired box 8	PAX8
1255_g_at	guanylate cyclase activator 1A (retina)	GUCA1A
1294_at	ubiquitin-like modifier activating enzyme 7	UBA7
1316_at	"thyroid hormone receptor, alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog, avian)"	THRA
1320_at	"protein tyrosine phosphatase, non-receptor type 21"	PTPN21
1405_i_at	chemokine (C-C motif) ligand 5	CCL5
1431_at	"cytochrome P450, family 2, subfamily E, polypeptide 1"	CYP2E1
1438_at	EPH receptor B3	EPHB3
1487_at	estrogen-related receptor alpha	ESRRA
1494_f_at	"cytochrome P450, family 2, subfamily A, polypeptide 6"	CYP2A6
1552256_a_at	"scavenger receptor class B, member 1"	SCARB1
1552257_a_at	"tubulin tyrosine ligase-like family, member 12"	TTLL12
1552258_at	non-protein coding RNA 152	NCRNA00152
1552261_at	WAP four-disulfide core domain 2	WFDC2
1552263_at	mitogen-activated protein kinase 1	MAPK1
1552264_a_at	mitogen-activated protein kinase 1	MAPK1
1552266_at	ADAM metallopeptidase domain 32	ADAM32
1552269_at	spermatogenesis associated 17	SPATA17
1552271_at	hypothetical protein MGC24975	MGC24975
1552272_a_at	hypothetical protein MGC24975	MGC24975
1552274_at	PX domain containing serine/threonine kinase	PXK
1552275_s_at	PX domain containing serine/threonine kinase	PXK
1552276_a_at	vacuolar protein sorting 18 homolog (S. cerevisiae)	VPS18
1552277_a_at	chromosome 9 open reading frame 30	C9orf30
1552278_a_at	"solute carrier family 46 (folate transporter), member 1"	SLC46A1
1552279_a_at	"solute carrier family 46 (folate transporter), member 1"	SLC46A1
1552280_at	T-cell immunoglobulin and mucin domain containing 4	TIMD4
1552281_at	"solute carrier family 39 (metal ion transporter), member 5"	SLC39A5
1552283_s_at	"zinc finger, DHHC-type containing 11"	ZDHHC11
1552286_at	"ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E2"	ATP6V1E2
1552287_s_at	AFG3 ATPase family gene 3-like 1 (S. cerevisiae)	AFG3L1
1552288_at	cartilage intermediate layer protein 2	CILP2
1552289_a_at	cartilage intermediate layer protein 2	CILP2
1552291_at	"phosphatidylinositol glycan anchor biosynthesis, class X"	PIGX
1552293_at	transmembrane protein 196	TMEM196
1552295_a_at	"solute carrier family 39 (zinc transporter), member 13"	SLC39A13
1552296_at	bestrophin 4	BEST4
1552299_at	adenylate kinase domain containing 2	AKD2
1552301_a_at	coronin 6	CORO6
1552302_at	transmembrane protein 106A	TMEM106A
1552303_a_at	transmembrane protein 106A	TMEM106A
1552304_at	"asparagine-linked glycosylation 10, alpha-1,2-glucosyltransferase homolog (S. pombe)"	ALG10
1552306_at	"asparagine-linked glycosylation 10, alpha-1,2-glucosyltransferase homolog (S. pombe)"	ALG10
1552307_a_at	tetratricopeptide repeat domain 39C	TTC39C
1552309_a_at	nexilin (F actin binding protein)	NEXN
1552310_at	chromosome 15 open reading frame 40	C15orf40
1552311_a_at	retina and anterior neural fold homeobox 2	RAX2
1552312_a_at	microfibrillar-associated protein 3	MFAP3
1552314_a_at	eyes absent homolog 3 (Drosophila)	EYA3
1552315_at	"GTPase, IMAP family member 1"	GIMAP1
1552316_a_at	"GTPase, IMAP family member 1"	GIMAP1
1552318_at	"GTPase, IMAP family member 1"	GIMAP1
1552319_a_at	kallikrein-related peptidase 8	KLK8
1552320_a_at	coiled-coil domain containing 65	CCDC65
1552321_a_at	coiled-coil domain containing 65	CCDC65
1552322_at	family with sequence similarity 122C	FAM122C
1552323_s_at	family with sequence similarity 122C	FAM122C
1552325_at	coiled-coil domain containing 11	CCDC11
1552326_a_at	coiled-coil domain containing 11	CCDC11
1552327_at	"armadillo repeat containing, X-linked 4"	ARMCX4
1552329_at	retinoblastoma binding protein 6	RBBP6
1552330_at	hypothetical protein MGC16385	MGC16385
1552332_at	TRIO and F-actin binding protein	TRIOBP
1552334_at	TRIO and F-actin binding protein	TRIOBP
1552335_at	"cation channel, sperm associated 1"	CATSPER1
1552337_s_at	homeobox D4	HOXD4
1552338_at	goosecoid homeobox	GSC
1552340_at	Sp7 transcription factor	SP7
1552343_s_at	phosphodiesterase 7A	PDE7A
1552344_s_at	"CCR4-NOT transcription complex, subunit 7"	CNOT7
1552347_at	"crystallin, zeta (quinone reductase)-like 1"	CRYZL1
1552348_at	"protease, serine, 33"	PRSS33
1552349_a_at	"protease, serine, 33"	PRSS33
1552354_at	chromosome 19 open reading frame 26	C19orf26
1552355_s_at	chromosome 19 open reading frame 26	C19orf26
1552359_at	chromosome 8 open reading frame 45	C8orf45
1552360_a_at	toll-interleukin 1 receptor (TIR) domain containing adaptor protein	TIRAP
1552362_a_at	liver expressed antimicrobial peptide 2	LEAP2
1552364_s_at	musashi homolog 2 (Drosophila)	MSI2
1552365_at	scinderin	SCIN
1552367_a_at	scinderin	SCIN
1552368_at	CCCTC-binding factor (zinc finger protein)-like	CTCFL
1552370_at	chromosome 4 open reading frame 33	C4orf33
1552372_at	chromosome 4 open reading frame 33	C4orf33
1552373_s_at	chromosome 4 open reading frame 33	C4orf33
1552375_at	zinc finger protein 333	ZNF333
1552377_s_at	"family with sequence similarity 18, member B2"	FAM18B2
1552378_s_at	retinol dehydrogenase 10 (all-trans)	RDH10
1552379_at	retinol dehydrogenase 10 (all-trans)	RDH10
1552381_at	serine-arginine repressor protein (35 kDa)	SRrp35
1552383_at	"family with sequence similarity 71, member A"	FAM71A
1552384_a_at	"family with sequence similarity 71, member A"	FAM71A
1552386_at	"GRB2-binding adaptor protein, transmembrane"	GAPT
1552388_at	hypothetical protein FLJ30901	FLJ30901
1552389_at	chromosome 8 open reading frame 47	C8orf47
1552390_a_at	chromosome 8 open reading frame 47	C8orf47
1552391_at	chromosome 1 open reading frame 65	C1orf65
1552393_at	ENTH domain containing 1	ENTHD1
1552394_a_at	ENTH domain containing 1	ENTHD1
1552395_at	testis-specific serine kinase 3	TSSK3
1552396_at	WAP four-disulfide core domain 6	WFDC6
1552398_a_at	"C-type lectin domain family 12, member A /// C-type lectin domain family 12, member B"	CLEC12A /// CLEC12B
1552399_a_at	"BRF1 homolog, subunit of RNA polymerase III transcription initiation factor IIIB (S. cerevisiae)"	BRF1
1552400_a_at	chromosome 15 open reading frame 27	C15orf27
1552401_a_at	chromosome 21 open reading frame 41	C21orf41
1552402_at	calmodulin-like 6	CALML6
1552405_at	"NLR family, pyrin domain containing 5"	NLRP5
1552408_at	outer dense fiber of sperm tails 4	ODF4
1552409_a_at	outer dense fiber of sperm tails 4	ODF4
1552410_at	"C-type lectin domain family 4, member F"	CLEC4F
1552411_at	"defensin, beta 106A /// defensin, beta 106B"	DEFB106A /// DEFB106B
1552412_a_at	"defensin, beta 106A /// defensin, beta 106B"	DEFB106A /// DEFB106B
1552414_at	WAP four-disulfide core domain 9	WFDC9
1552415_a_at	WAP four-disulfide core domain 9	WFDC9
1552417_a_at	"neural precursor cell expressed, developmentally down-regulated 1"	NEDD1
1552418_at	"tubulin tyrosine ligase-like family, member 10"	TTLL10
1552419_s_at	"tubulin tyrosine ligase-like family, member 10"	TTLL10
1552421_a_at	calreticulin 3	CALR3
1552422_at	chromosome 10 open reading frame 25	C10orf25
1552423_at	ets variant 3	ETV3
1552424_at	kelch-like 10 (Drosophila)	KLHL10
1552425_a_at	kelch-like 10 (Drosophila)	KLHL10
1552426_a_at	TM2 domain containing 3	TM2D3
1552427_at	zinc finger protein 485	ZNF485
1552430_at	WD repeat domain 17	WDR17
1552432_at	major facilitator superfamily domain containing 6-like	MFSD6L
1552436_a_at	cadherin-like 23	CDH23
1552438_a_at	ankyrin and armadillo repeat containing	ANKAR
1552439_s_at	multiple EGF-like-domains 11	MEGF11
1552440_at	G protein-coupled receptor 182	GPR182
1552445_a_at	ESX homeobox 1	ESX1
