Probe Set ID	Target Description	Gene Title	Gene Symbol	Gene Ontology Biological Process	Gene Ontology Cellular Component	Gene Ontology Molecular Function
1200459_Reg_88-1740_at	"From cloning vector pGL3-Basic, firefly luciferase (luc) gene"	---	---	---	---	---
1289374_Reg_826-1545_at	"Cloning vector phGFP-S65T, complete sequence, green fluorescent protein (gfp) gene, complete cds"	---	---	---	---	---
149174_Reg_66-1115_at	"K. pneumoniae bromoxynil-specific nitrilase (bxn) gene, complete cds"	---	---	---	---	---
150775_Reg_211-1236_at	"Plasmid pJR225 (from E.coli) hygromycin B phosphotransferase (hgh) gene, complete cds"	---	---	---	---	---
23381122_R_1101-1898_at	"From binary vector pGV4042, region between right and left T-DNA border and neomycin phosphotransferase (nptII) gene"	---	---	---	---	---
2623978_R_1403-2212_at	Synthetic DNA containing kanamycin and geneticin (G418) resistance gene in Escherichia coli plasmid pFA6a-GFPS65T-kanMX6	---	---	---	---	---
40321-46140.AF427791_x_at	" Intergenic region between Morex BAC predicted Stowaway.3 and BARE-1 SoloLTR-1.2; intergenic region, flanking CDS (711N16.9 and 711N16.8) are methylated in 7-day old leaves, but are expressed via rtPCR assay. "	---	---	---	---	---
48446_Reg_1231-2205_at	"V.harveyi luxA and luxB genes for luciferase alpha and beta subunits, luxB gene"	---	---	---	---	---
48446_Reg_137-1204_at	"From V. harveyi luxA and luxB genes for luciferase alpha and beta subunits, luxA gene"	---	---	---	---	---
74797-75570.AF427791_x_at	Intergenic region between Morex BAC predicted CDS 80H14.15 and 80H14.14; both 80H14.15 and 80H14.14 CDS are not expressed in 7-day old leaves via rtPCR assay	---	---	---	---	---
8829-9073.AF427791_x_at	Intergenic region between Morex BAC predicted tRNA ser and CDS 711N16.14; 711N16.14 CDS is not expressed in 7-day old leaves via rtPCR assay.	---	---	---	---	---
9507414_R_4264-4644_at	"From complete sequence of plasmid pRL1063a, bleomycin resistance gene"	---	---	---	---	---
A00196.1_at	A00196 Synthetic uidA gene for beta-glucuronidase (GUS)	---	---	---	---	---
A06498.1_s_at	Artificial sequence for nopaline synthase	---	---	---	---	---
AB011264_at	BEST BLASTX NR: 11/06/02 BAA74581.1   0.0 (AB011264) nicochianamine synthase 3 [Hordeum vulgare subsp. vulgare]	---	---	0030418 // nicotianamine biosynthetic process // inferred from electronic annotation	---	0016740 // transferase activity // inferred from electronic annotation /// 0030410 // nicotianamine synthase activity // inferred from electronic annotation
AB011266_at	BEST BLASTX NR: 11/06/02 BAA74583.1   0.0 (AB011266) nicotianamine Synthase 4 [Hordeum vulgare subsp. vulgare]	---	---	0030418 // nicotianamine biosynthetic process // inferred from electronic annotation	---	0016740 // transferase activity // inferred from electronic annotation /// 0030410 // nicotianamine synthase activity // inferred from electronic annotation
AB019525_at	BEST BLASTX NR: 11/06/02 BAA74587.1   0.0 (AB019525) nicotianamine synthase 7 [Hordeum vulgare subsp. vulgare]	---	---	0030418 // nicotianamine biosynthetic process // inferred from electronic annotation	---	0016740 // transferase activity // inferred from electronic annotation /// 0030410 // nicotianamine synthase activity // inferred from electronic annotation
AB024007_at	BEST BLASTX NR: 11/06/02 BAB07798.1   e-104 (AB024007) IDS3 [Hordeum vulgare subsp. vulgare]	---	---	---	---	0016491 // oxidoreductase activity // inferred from electronic annotation
AF016328_at	BEST BLASTX NR: 11/06/02 AAB02259.1   2e-67 permatin precursor	---	---	---	---	---
AF026538_at	BEST BLASTX NR: 11/06/02 A59232       e-161 ABA-responsive protein - barley gb|AAD09343.1| (AF026538) ABA-responsive protein [Hordeum vulgare]	ABA-responsive protein	LOC548112	---	---	---
AF032680_at	BEST BLASTX NR: 11/06/02 T04384       e-100 NBS-LRR type resistance protein - barley (fragment) gb|AAB96977.1| (AF032680) NBS-LRR type resistance protein [Hordeum vulgare]	---	---	0006915 // apoptosis // inferred from electronic annotation	---	0005524 // ATP binding // inferred from electronic annotation
AF032681_at	BEST BLASTX NR: 11/06/02 T04385       3e-54 NBS-LRR type resistance protein - barley (fragment) gb|AAB96978.1| (AF032681) NBS-LRR type resistance protein [Hordeum vulgare]	---	---	0006915 // apoptosis // inferred from electronic annotation	---	0005524 // ATP binding // inferred from electronic annotation
AF032682_at	BEST BLASTX NR: 11/06/02 T04389       e-126 NBS-LRR type resistance protein - barley (fragment) gb|AAB96979.1| (AF032682) NBS-LRR type resistance protein [Hordeum vulgare]	---	---	0006915 // apoptosis // inferred from electronic annotation	---	0005524 // ATP binding // inferred from electronic annotation
AF032683_at	BEST BLASTX NR: 11/06/02 T04390       0.0 NBS-LRR type resistance protein - barley (fragment) gb|AAB96980.1| (AF032683) NBS-LRR type resistance protein [Hordeum vulgare] [Hordeum	NBS-LRR disease resistance protein homologue	rga S-217	0006915 // apoptosis // inferred from electronic annotation	---	0005524 // ATP binding // inferred from electronic annotation
AF032685_at	BEST BLASTX NR: 11/06/02 T04392       e-100 NBS-LRR type resistance protein - barley (fragment) gb|AAB96982.1| (AF032685) NBS-LRR type resistance protein [Hordeum vulgare]	---	---	0006915 // apoptosis // inferred from electronic annotation	---	0005524 // ATP binding // inferred from electronic annotation
AF032686_at	BEST BLASTX NR: 11/06/02 T04393       e-157 NBS-LRR type resistance protein - barley (fragment) gb|AAB96983.1| (AF032686) NBS-LRR type resistance protein [Hordeum vulgare]	---	---	0006915 // apoptosis // inferred from electronic annotation	---	0005524 // ATP binding // inferred from electronic annotation
AF032687_at	BEST BLASTX NR: 11/06/02 T04394       e-152 NBS-LRR type resistance protein - barley (fragment) gb|AAB96984.1| (AF032687) NBS-LRR type resistance protein [Hordeum vulgare]	---	---	0006915 // apoptosis // inferred from electronic annotation	---	0005524 // ATP binding // inferred from electronic annotation
AF039024_at	BEST BLASTX NR: 11/06/02 T04395       2e-38 probable phospholipid transfer protein - barley gb|AAC28263.1| 7 kDa lipid transfer protein [Hordeum vulgare]	---	---	0006869 // lipid transport // inferred from electronic annotation	---	---
AF052395_at	BEST BLASTX NR: 11/06/02 T04396       3e-99 Rlch5 protein - barley (fragment) gb|AAC26501.1| (AF052395) resistance protein [Hordeum vulgare] [Hordeum vulgare	---	---	0006915 // apoptosis // inferred from electronic annotation	---	0005524 // ATP binding // inferred from electronic annotation
AF052396_at	BEST BLASTX NR: 11/06/02 T04397       e-103 Rlch4 protein - barley (fragment) gb|AAC26502.1| (AF052396) resistance protein [Hordeum vulgare] [Hordeum vulgare	---	---	0006915 // apoptosis // inferred from electronic annotation	---	0005524 // ATP binding // inferred from electronic annotation
AF052397_at	BEST BLASTX NR: 11/06/02 T04398       e-103 hypothetical protein - barley (fragment) gb|AAC26503.1| (AF052397) resistance protein [Hordeum vulgare] [Hordeum vulgare	---	---	0006915 // apoptosis // inferred from electronic annotation	---	0005524 // ATP binding // inferred from electronic annotation
AF064561_at	BEST BLASTX NR: 11/06/02 AAC69754.1   0.0 (AF064561) starch branching enzyme IIb [Hordeum vulgare] [Hordeum vulgare subsp. vulgare]	---	---	0005975 // carbohydrate metabolic process // inferred from electronic annotation	---	"0003824 // catalytic activity // inferred from electronic annotation /// 0004553 // hydrolase activity, hydrolyzing O-glycosyl compounds // inferred from electronic annotation /// 0043169 // cation binding // inferred from electronic annotation"
AF069331_at	BEST BLASTX NR: 11/06/02 AAC96100.2   2e-23 low temperature induced protein [Hordeum vulgare]	low temperature induced protein	LOC548283	---	---	---
AF069331_s_at	BEST BLASTX NR: 11/06/02 AAC96100.2   2e-23 low temperature induced protein [Hordeum vulgare]	low temperature induced protein	LOC548283	---	---	---
AF085165_at	BEST BLASTX NR: 11/06/02 AAD44030.1   e-147 (AF085165) receptor-like kinase LRK10 [Hordeum vulgare] [Hordeum vulgare subsp. vulgare]	---	---	---	---	0004872 // receptor activity // inferred from electronic annotation /// 0016301 // kinase activity // inferred from electronic annotation
AF085166_at	BEST BLASTX NR: 11/06/02 AAD44031.1   0.0 receptor-like kinase [Hordeum vulgare]	---	---	0006468 // protein amino acid phosphorylation // inferred from electronic annotation	---	0004672 // protein kinase activity // inferred from electronic annotation /// 0004674 // protein serine/threonine kinase activity // inferred from electronic annotation /// 0004872 // receptor activity // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0016301 // kinase activity // inferred from electronic annotation
AF085166_x_at	BEST BLASTX NR: 11/06/02 AAD44031.1   0.0 receptor-like kinase [Hordeum vulgare]	---	---	0006468 // protein amino acid phosphorylation // inferred from electronic annotation	---	0004672 // protein kinase activity // inferred from electronic annotation /// 0004674 // protein serine/threonine kinase activity // inferred from electronic annotation /// 0004872 // receptor activity // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0016301 // kinase activity // inferred from electronic annotation
AF091115_at	BEST BLASTX NR: 11/06/02 AAD28363.1   0.0 (AF091115) putative high affinity nitrate transporter [Hordeum vulgare] [Hordeum vulgare subsp. vulgare]	---	---	---	---	---
AF100770_at	BEST BLASTX NR: 11/06/02 AAD46419.1   0.0 (AF100770) receptor-like kinase [Hordeum vulgare]	---	---	0006468 // protein amino acid phosphorylation // inferred from electronic annotation	---	0004672 // protein kinase activity // inferred from electronic annotation /// 0004713 // protein tyrosine kinase activity // inferred from electronic annotation /// 0004872 // receptor activity // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0016301 // kinase activity // inferred from electronic annotation
AF108009_at	BEST BLASTX NR: 11/06/02 AAD46470.1   2e-37 (AF108009) HV1PST [Hordeum vulgare]	---	---	---	---	---
AF108010_at	BEST BLASTX NR: 11/06/02 AAD46471.1   0.0 (AF108010) Hv1LRR2 [Hordeum vulgare]	---	---	0006915 // apoptosis // inferred from electronic annotation	---	0005524 // ATP binding // inferred from electronic annotation
AF108015_at	BEST BLASTX NR: 11/06/02 AAD46476.1   e-117 (AF108015) YPL943 [Hordeum vulgare]	---	---	0006915 // apoptosis // inferred from electronic annotation	---	0005524 // ATP binding // inferred from electronic annotation
AF109193_at	BEST BLASTX NR: 11/06/02 AAF23356.1   3e-64 (AF109193) ECA1 protein [Hordeum vulgare] [Hordeum vulgare subsp. vulgare]	---	---	---	---	---
AF129480_at	BEST BLASTX NR: 11/06/02 AAF36492.1   e-109 (AF129480) HAK1B [Hordeum vulgare] [Hordeum vulgare subsp. vulgare]	---	---	0006813 // potassium ion transport // inferred from electronic annotation	0016020 // membrane // inferred from electronic annotation	0015079 // potassium ion transmembrane transporter activity // inferred from electronic annotation
AF134152_at	BEST BLASTX NR: 11/06/02 AAD55362.1   9e-81 (AF134152) cysteine protease [Hordeum vulgare] [Hordeum vulgare subsp. vulgare]	---	---	0006508 // proteolysis // inferred from electronic annotation	---	0004197 // cysteine-type endopeptidase activity // inferred from electronic annotation /// 0008233 // peptidase activity // inferred from electronic annotation /// 0008234 // cysteine-type peptidase activity // inferred from electronic annotation
