Probe Set ID	Target Description	Gene Title	Gene Symbol	Ensembl	SwissProt	SGD accession number
10000_at	YLR331C questionable ORF	"Dubious open reading frame, unlikely to encode a protein; not conserved in closely related Saccharomyces species; 98% of ORF overlaps the verified gene MID2"	JIP3	YLR331C	O13555	S000004323
10001_at	YLR332W Protein required for mating	"O-glycosylated plasma membrane protein that acts as a sensor for cell wall integrity signaling and activates the pathway; interacts with Rom2p, a guanine nucleotide exchange factor for Rho1p, and with cell integrity pathway protein Zeo1p"	MID2	YLR332W	P36027	S000004324
10002_i_at	YLR333C Ribosomal protein S25B (S31B) (rp45) (YS23)	---	---	YLR333C	P0C0T4	---
10003_f_at	YLR333C Ribosomal protein S25B (S31B) (rp45) (YS23)	Protein component of the small (40S) ribosomal subunit; nearly identical to Rps25Ap and has similarity to rat S25 ribosomal protein	RPS25B	YLR333C	P0C0T4	S000004325
10004_at	YLR334C questionable ORF	---	---	YLR334C	Q06127	S000004326
10005_at	YLR335W nuclear pore complex protein with central repetitive domain similar to that of NSP1 and NUP1	"Nucleoporin involved in nucleocytoplasmic transport, binds to either the nucleoplasmic or cytoplasmic faces of the nuclear pore complex depending on Ran-GTP levels; also has a role in chromatin organization"	NUP2	YLR335W	P32499	S000004327
10006_at	YLR336C Suppressor of Glycerol Defect	Essential nuclear protein with a possible role in the osmoregulatory glycerol response; interacts with phospholipase C (Plc1p); putative homolog of human NOM1 which is implicated in acute myeloid leukemia	SGD1	YLR336C	Q06132	S000004328
10007_at	YLR337C Proline-rich protein verprolin	Proline-rich actin-associated protein involved in cytoskeletal organization and cytokinesis; related to mammalian Wiskott-Aldrich syndrome protein (WASP)-interacting protein (WIP)	VRP1	YLR337C	P37370 /// Q07229	S000004329
10008_at	YLR338W questionable ORF	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF VRP1/YLR337C"	OPI9	YLR338W	O94084	S000004330
10009_at	YLR339C questionable ORF	---	---	YLR339C	O94085	S000004331
10010_at	YLR295C ATP synthase subunit h	"Subunit h of the F0 sector of mitochondrial F1F0 ATP synthase, which is a large, evolutionarily conserved enzyme complex required for ATP synthesis"	ATP14	YLR295C	Q12349	S000004286
10011_at	YLR296W hypothetical protein	---	---	YLR296W	Q05898	S000004287
10012_at	YLR297W weak similarity to Vibrio vulnificus VvpC protein	---	---	YLR297W	Q05899	S000004288
10013_at	YLR298C U1 snRNP protein required for pre-mRNA splicing	"Component of the U1 snRNP complex required for pre-mRNA splicing; putative ortholog of human U1C protein, which is involved in formation of a complex between U1 snRNP and the pre-mRNA 5' splice site"	YHC1	YLR298C	Q05900	S000004289
10014_at	YLR299W gamma-glutamyltransferase homolog	"Gamma-glutamyltranspeptidase, major glutathione-degrading enzyme; involved in detoxification of electrophilic xenobiotics; expression induced mainly by nitrogen starvation"	ECM38	YLR299W	Q05902	S000004290
10015_at	"YLR300W Exo-1,3-beta-glucanase"	"Major exo-1,3-beta-glucanase of the cell wall, involved in cell wall beta-glucan assembly; exists as three differentially glycosylated isoenzymes"	EXG1	YLR300W	P23776	S000004291
10016_at	YLR301W hypothetical protein	---	---	YLR301W	Q05905	S000004292
10017_at	YLR302C questionable ORF	---	---	YLR302C	O13544	S000004293
10018_at	YLR303W O-Acetylhomoserine-O-Acetylserine Sulfhydralase	"Methionine and cysteine synthase (O-acetyl homoserine-O-acetyl serine sulfhydrylase), required for sulfur amino acid synthesis"	MET17	YLR303W	P06106	S000004294
10019_at	"YLR304C Aconitase, mitochondrial"	"Aconitase, required for the tricarboxylic acid (TCA) cycle and also independently required for mitochondrial genome maintenance; phosphorylated; component of the mitochondrial nucleoid; mutation leads to glutamate auxotrophy"	ACO1	YLR304C	P19414	S000004295
10020_at	"YLR305C encodes a phosphatidylinositol-4-kinase, homologous to VPC34"	"Phosphatidylinositol-4-kinase that functions in the Pkc1p protein kinase pathway; required for normal vacuole morphology, cell wall integrity, and actin cytoskeleton organization"	STT4	YLR305C	P37297	S000004296
10021_at	YLR306W Ubiquitin-conjugating enzyme	"Enzyme that mediates the conjugation of Rub1p, a ubiquitin-like protein, to other proteins; related to E2 ubiquitin-conjugating enzymes"	UBC12	YLR306W	P52491	S000004297
10022_at	YLR307W Chitin Deacetylase	"Chitin deacetylase, together with Cda2p involved in the biosynthesis ascospore wall component, chitosan; required for proper rigidity of the ascospore wall"	CDA1	YLR307W	Q06702	S000004298
10023_at	YLR308W Chitin Deacetylase	"Chitin deacetylase, together with Cda1p involved in the biosynthesis ascospore wall component, chitosan; required for proper rigidity of the ascospore wall"	CDA2	YLR308W	Q06703	S000004299
10024_at	YLR309C similarity to human centromere protein E	"Protein involved in vesicular transport, mediates transport between an endosomal compartment and the Golgi, contains a Golgi-localization (GRIP) domain that interacts with activated Arl1p-GTP to localize Imh1p to the Golgi"	IMH1	YLR309C	Q06704	S000004300
10025_at	YLR310C regulatory protein of adenylate cyclase	Membrane bound guanine nucleotide exchange factor (GEF or GDP-release factor); indirectly regulates adenylate cyclase through activation of Ras1p and Ras2p by stimulating the exchange of GDP for GTP; required for progression through G1	CDC25	YLR310C	P04821	S000004301
10026_at	YLR311C weak similarity to S.tarentolae cryptogene protein G4	---	---	YLR311C	Q06158	S000004302
10027_at	YLR312C hypothetical protein	---	---	YLR312C	Q06159	S000004303
10028_at	"YLR313C homologous to Spa2p, localizes to sites of polarized growth"	"Protein involved in shmoo formation and bipolar bud site selection; homologous to Spa2p, localizes to sites of polarized growth in a cell cycle dependent- and Spa2p-dependent manner, interacts with MAPKKs Mkk1p, Mkk2p, and Ste7p"	SPH1	YLR313C	Q06160	S000004305
10029_at	YLR314C Component of 10 nm filaments of mother-bud neck	"Component of the septin ring of the mother-bud neck that is required for cytokinesis; septins recruit proteins to the neck and can act as a barrier to diffusion at the membrane, and they comprise the 10nm filaments seen with EM"	CDC3	YLR314C	P32457	S000004306
10030_at	YLR315W weak similarity to rat apolipoprotein A-IV	"Non-essential kinetochore protein, subunit of the Ctf19 central kinetochore complex (Ctf19p-Mcm21p-Okp1p-Mcm22p-Mcm16p-Ctf3p-Chl4p-Mcm19p-Nkp1p-Nkp2p-Ame1p-Mtw1p)"	NKP2	YLR315W	Q06162	S000004307
10031_at	YLR316C weak similarity to H.influenzae hypothetical protein HI0906	"Subunit of tRNA-specific adenosine-34 deaminase, forms a heterodimer with Tad2p that converts adenosine to inosine at the wobble position of several tRNAs"	TAD3	YLR316C	Q9URQ3	S000004308
10032_at	YLR274W Member of complex that acts at ARS's to initiate replication	"Component of the hexameric MCM complex, which is important for priming origins of DNA replication in G1 and becomes an active ATP-dependent helicase that promotes DNA melting and elongation when activated by Cdc7p-Dbf4p in S-phase"	MCM5	YLR274W	P29496	S000004264
10033_at	YLR275W U1 snRNP protein of the Sm class	"Core Sm protein Sm D2; part of heteroheptameric complex (with Smb1p, Smd1p, Smd3p, Sme1p, Smx3p, and Smx2p) that is part of the spliceosomal U1, U2, U4, and U5 snRNPs; homolog of human Sm D2"	SMD2	YLR275W	Q06217	S000004265
10034_at	YLR276C DEAD-Box Protein 9	ATP-dependent RNA helicase of the DEAD-box family involved in biogenesis of the 60S ribosomal subunit	DBP9	YLR276C	Q06218	S000004266
10035_at	YLR277C subunit of Polyadenylation factor I (PF I)	"Putative endoribonuclease, subunit of the mRNA cleavage and polyadenylation specificity complex required for 3' processing of mRNAs"	YSH1	YLR277C	Q06224	S000004267
10036_at	YLR278C weak similarity to regulatory proteins	---	---	YLR278C	Q05854	S000004268
10037_at	YLR279W questionable ORF	---	---	YLR279W	O13540	S000004269
